CMDLINE mypy app
MEM 19.250000 1723108956.6853
MEM 19.250000 1723108956.7900
MEM 19.250000 1723108956.8991
MEM 19.250000 1723108957.0083
MEM 19.343750 1723108957.1135
MEM 19.343750 1723108957.2245
MEM 19.343750 1723108957.3301
MEM 19.343750 1723108957.4394
MEM 25.125000 1723108957.5442
MEM 25.125000 1723108957.6488
MEM 25.125000 1723108957.7569
MEM 26.015625 1723108957.8658
MEM 26.015625 1723108957.9751
MEM 26.015625 1723108958.0842
MEM 26.171875 1723108958.1933
MEM 26.171875 1723108958.3023
MEM 26.171875 1723108958.4116
MEM 26.312500 1723108958.5189
MEM 26.312500 1723108958.6283
MEM 26.312500 1723108958.7377
MEM 26.406250 1723108958.8466
MEM 26.406250 1723108958.9559
MEM 26.468750 1723108959.0651
MEM 26.500000 1723108959.1742
MEM 26.500000 1723108959.2835
MEM 26.500000 1723108959.4099
MEM 25.828125 1723108959.5194
MEM 25.828125 1723108959.6247
MEM 25.890625 1723108959.7331
MEM 25.890625 1723108959.8425
MEM 25.890625 1723108959.9482
MEM 25.984375 1723108960.0580
MEM 25.984375 1723108960.1671
MEM 25.984375 1723108960.2763
MEM 26.125000 1723108960.3858
MEM 26.125000 1723108960.4953
MEM 26.125000 1723108960.6046
MEM 26.218750 1723108960.7140
MEM 26.218750 1723108960.8234
MEM 26.218750 1723108960.9326
MEM 26.218750 1723108961.0374
MEM 26.296875 1723108961.1466
MEM 26.296875 1723108961.2557
MEM 26.296875 1723108961.3644
MEM 26.312500 1723108961.4734
MEM 26.312500 1723108961.5824
MEM 26.312500 1723108961.6873
MEM 26.531250 1723108961.7970
MEM 26.531250 1723108961.9062
MEM 26.531250 1723108962.0154
MEM 26.656250 1723108962.1247
MEM 26.656250 1723108962.2339
MEM 26.656250 1723108962.3408
MEM 26.828125 1723108962.4500
MEM 26.828125 1723108962.5552
MEM 26.828125 1723108962.6607
MEM 26.828125 1723108962.7689
MEM 26.828125 1723108962.8782
MEM 26.890625 1723108962.9874
MEM 26.890625 1723108963.0940
MEM 26.890625 1723108963.2033
MEM 26.968750 1723108963.3127
